,ktest,p-value,p-value_adj,cluster
HSD17B4,2.957079442041006,0.565033557136972,0.9716828153688255,0
THOC2,0.8377852257130713,0.9333118444219091,1.0,1
CEP85L,7.856635283920356,0.0969732645913188,0.24092736544427035,0
ENSGALG00000009387,9.551389186468677,0.048701956840342356,0.13398062404495834,1
BCLAF3,12.906971682442645,0.01173940649311144,0.037922314614244335,4
RNF114,7.286460718395066,0.12150254898879757,0.2896365887694817,4
DCTD,2.483141905689283,0.6476570189149102,1.0,1
HSP90AB1,37.20388688565911,1.6352258423634853e-07,1.135573501641309e-06,1
SFPQ,7.939428410793184,0.09382237885464748,0.2345559471366187,1
INO80C,0.22716199366678086,0.9940179133528945,1.0,1
TMEM171,85.42718883085348,1.23122708752945e-17,1.8797360114953437e-16,1
OSBPL9,0.368676984840928,0.9849601377202952,1.0,1
ENSGALG00000051796,6.050406209368715,0.1954153991189323,0.43473948636024984,1
EIF5,86.12297328353635,8.763813263045798e-18,1.358730738456713e-16,0
SKAP2,7.324632840113257,0.11969553010744231,0.28635294284077106,1
PDS5B,9.589566799138856,0.04793902919492298,0.13218985400408587,2
PTBP2,3.0818608858075875,0.54422086491159,0.952506893715677,1
ENSGALG00000013809,10.74179674900668,0.029624371860899952,0.08649451638218965,1
ABAT,0.2573630860902127,0.9923976773542582,1.0,2
ENSGALG00000011745,24.7078024093313,5.759397263793721e-05,0.0002901459578737391,1
REXO5,2.42702835500715,0.6577483949235773,1.0,1
RPS20,5.242311060594427,0.26332603226989254,0.5503156369276752,2
VDAC1,41.681382271779114,1.9420894000582512e-08,1.5113536187223744e-07,4
LAMA1,4.223046991996842,0.3766605030512461,0.7306702290033872,0
ENSGALG00000046649,1.530101054514226,0.8212964013139978,1.0,4
ABCC5,0.4942156551063213,0.9740616369775369,1.0,1
ENSGALG00000003325,0.09928091431332517,0.9988079376889212,1.0,4
SMURF2,0.10975821583888626,0.9985481177951256,1.0,1
AK2,11.646291476650436,0.02018480630198052,0.062202792918275865,2
ENSGALG00000051568,0.465606083711904,0.9767616972846358,1.0,1
CHRNA6,128.55380446519743,7.93698542860943e-27,1.8038603246839616e-25,0
MFSD11,13.935699401982165,0.007503129763289447,0.025564326280372904,1
KLHDC3,6.543620164826026,0.16206262601594754,0.37000599547019986,1
ZFAND6,38.23067447073993,1.004249991925779e-07,7.127382801776858e-07,1
ACAA2,1.5729650021890291,0.8136427448268617,1.0,0
DTYMK,2.0551953305601844,0.7256075397827602,1.0,1
CACNA1S,15.392217836700226,0.0039531867882769064,0.014245718155952816,1
MNT,6.079317224994903,0.19330260315304326,0.4305180471114549,2
DBNDD1,1.1546498610002995,0.885507280126529,1.0,1
POLQ,1.4083132215874947,0.842748858918027,1.0,1
MAPRE2,0.25935944431727304,0.9922843582355946,1.0,4
CPXM1,103.99026188621546,1.390072703013681e-21,2.6991702971139436e-20,1
MIDN,46.70411947528794,1.757377312093031e-09,1.5020318906778043e-08,1
RAB39B,2.3219046647386854,0.6767838635659104,1.0,4
CENPO,1.562376717100884,0.8155377235217048,1.0,0
ESR1,0.2023313713453707,0.9952151314104891,1.0,1
C7H2ORF69,1.3481321544315796,0.8531579033888355,1.0,1
ENSGALG00000043929,2.8562868931220398,0.582156192666601,0.9882313555477075,1
OTUB1,0.2998061772480843,0.9898266813121847,1.0,0
HOXC6,62.92850185896345,7.025137527970299e-13,8.216535120433098e-12,1
DHDDS,1.1235509486651365,0.8905178106952089,1.0,1
ACSL3,1.471496215198496,0.8316782753725961,1.0,1
GRAMD2A,71.3963763263597,1.1511144081660688e-14,1.5047247165569528e-13,0
PIGU,1.615712668671328,0.8059653426283505,1.0,1
MIIP,10.377637936576503,0.034524892391563936,0.09892519309903708,1
ENSGALG00000007291,3.44387861269206,0.48646287054137016,0.8836746058880475,4
UBE2L3,0.2863267507846261,0.9906796411364692,1.0,1
ENSGALG00000019312,1.194492615709604,0.8790045377402634,1.0,1
TTL,3.4119409002169734,0.491393601197078,0.8894001831621321,1
ZFYVE26,14.144543951842858,0.0068477373188494785,0.02348251289285118,1
RPL10A,2.4533507048531296,0.6530080952535335,1.0,1
SRRM1,0.03981196257535449,0.999804485667366,1.0,0
