,ktest,p-value,p-value_adj,cluster
SENP1,11.985311356936068,0.017460828663997646,0.04454293026530012,1
IFT88,0.43828204636828894,0.9792243583412132,1.0,1
PBK,0.658439345764058,0.9563535472957391,1.0,1
CPEB1,24.413413828374594,6.599166484936875e-05,0.00025828440254156064,1
RUVBL1,10.650078107016462,0.03079130775911725,0.07375163535117904,1
NXPE3,26.239953828735665,2.830742791488334e-05,0.00011844112098277547,1
MRPS18C,24.99399830960234,5.044979982838797e-05,0.0002022036065266051,1
PRMT8,1.2726260795417064,0.8660025071849721,1.0,1
NOS2,16.304692480699796,0.0026364130622440907,0.007823184160961694,1
NIPAL3,28.917442015351355,8.125139204229452e-06,3.611172979657534e-05,0
ST6GALNAC4,571.4529381783227,2.333667228403039e-122,2.029275850785251e-120,1
BACH1,1.5618250863588128,0.8156363722860837,1.0,4
CCND2,4.751218015262362,0.31378938928453676,0.5568578336903935,4
SATB1,14.639437130563163,0.005510553884818966,0.015677251450409577,1
BLOC1S2,5.1006781132762615,0.2771224122870927,0.5015790267639688,4
PDP2,9.537475919461736,0.04898287030427099,0.11157829226485419,4
FRZB,0.7510384982337841,0.9448888725736517,1.0,1
CYB5R2,38.983309595617044,7.021969023410228e-08,3.7153275256138773e-07,1
HJURP,6.578080099043369,0.15993670971254942,0.31298769023982276,0
CC2D2A,111.68176335394654,3.186207304053295e-23,3.838803980787102e-22,1
SCARB2,17.385787843267014,0.001626213634436609,0.005050352901977046,1
HMGCR,6.039953309929453,0.1961843384259698,0.3729740274257981,1
ZC3H7B,262.7378794233559,1.1721426803444703e-55,3.16795319012019e-54,1
WBP2,3.571677897801894,0.4670635811534617,0.7631757861984668,0
TPD52,123.67421284131993,8.76399422456319e-26,1.176375063699757e-24,4
TMEM255A,3.606692016260795,0.4618420629220945,0.7579049841760148,1
SERINC1,22.856709225776807,0.00013525156239759854,0.0005094220805935914,4
ZNF628,35.75024813311426,3.257032330064863e-07,1.6533159035862248e-06,1
NACA,0.12525424790713982,0.998118908254756,1.0,0
PEMT,3.9666177743198365,0.4105424939847856,0.6894080503522848,0
KIAA0319L,1.3914496769829905,0.845679734272071,1.0,4
ENSGALG00000006818,13.805288799995058,0.00794313724806436,0.021762019857710577,0
PPM1A,65.50450828844971,2.0145568975260377e-13,1.4812918364162043e-12,2
IQCH,16.81916915240222,0.002095724901053813,0.0063603183643514815,1
C5orf22,26.529682376345253,2.4741134465352165e-05,0.00010373641285262962,1
FYCO1,82.22753131199335,5.874116039496748e-17,5.340105490451589e-16,1
SBSPON,85.06768945213513,1.467617782416109e-17,1.3780448661184122e-16,1
RPS12,2.4601519533869496,0.6517851332913637,0.9627549974761649,2
TPST1,61.909530128902105,1.150938115545373e-12,8.191730359753544e-12,0
HEMK1,0.07333314557876223,0.9993439894458553,1.0,1
UGGT1,0.4663589571208355,0.9766922196931069,1.0,1
COL12A1,6.363050086808078,0.1736264684259111,0.33486300564303006,1
RMDN3,0.3186885944066835,0.9885760417397096,1.0,1
UBQLN4,24.096220364857963,7.640465970460046e-05,0.00029845570197109555,1
DHRS11,1.789227163027446,0.7744527109260082,1.0,1
ENSGALG00000047510,2.794514641782894,0.5927799548226049,0.9084750265480536,1
RSBN1,0.025440976868707638,0.9999197774294722,1.0,1
MACF1,19.44057009565067,0.0006437839933001773,0.002171278223609367,0
ENSGALG00000046721,3.682225021578877,0.45071647028268114,0.7449859012936878,1
HBP1,5.661973601397689,0.2258544801184356,0.4201943816156941,1
WDR90,0.0814865237021273,0.9991921973489221,1.0,1
STX17,3.279716273417999,0.512152443478553,0.8228397829361583,1
KIAA0753,0.6186573855466005,0.9609680327133855,1.0,4
BDH2,5.279970826088292,0.2597577692890345,0.474010527899698,4
REV1,0.42528568570781244,0.9803548339184862,1.0,4
ACSS2,20.670500011042698,0.0003680349447521784,0.001286835471161463,0
SMNDC1,0.11024510468666397,0.9985354447062407,1.0,0
