,ktest,p-value,p-value_adj,cluster
SMAD6,0.23337032616859082,0.9936993905125966,1.0,1
FAM120A,12.245292230760304,0.015617443543086137,0.10921289190969327,0
PRKAB2,4.110192013024651,0.3912983414433119,1.0,1
ADAL,22.578367831972844,0.00015370668771351283,0.0018741527588508181,2
LIPA,0.01824381627030832,0.9999586475415339,1.0,4
ACAD11,0.34440963629092064,0.9867699144832206,1.0,1
TXNDC9,0.11767060819970587,0.9983356168414587,1.0,1
FBXO38,0.6327100782107521,0.9593604101016374,1.0,1
KIAA1671,0.24284304746595126,0.9931988079273973,1.0,1
COG1,1.5188738875284498,0.8232930188268108,1.0,1
MMADHC,10.127353269746237,0.038336213269532154,0.23234068648201303,4
FBXL5,28.009863802465706,1.241564780985349e-05,0.00019136058317035035,4
LSS,1.2674487072441731,0.8668736323016727,1.0,0
SMCO4,4.091552355568458,0.393757356157411,1.0,4
EIF3E,5.382585475509796,0.25024470856127184,0.9066837266712747,1
DUSP12,110.36741139735616,6.076192224135033e-23,2.9639962068951375e-21,4
SENP7,4.756163616810174,0.3132437077771013,1.0,1
HIF1A,1.2275365437667078,0.8735444301897941,1.0,4
HSPA13,0.2009418770135094,0.9952784572862946,1.0,1
ENSGALG00000004110,2.4098300954553125,0.6608515378655913,1.0,4
BTRC,18.367389644699927,0.0010458692429143944,0.010304130472062998,1
GTF2B,1.4792724345986425,0.830306643477198,1.0,4
TOP3A,4.853631537247221,0.3026481752310021,1.0,4
SMAD2Z,2.3083853401581043,0.6792427883777206,1.0,1
GSN,0.08083189075484962,0.9992049515151393,1.0,4
STOM,0.36683835148425,0.9851007875357071,1.0,1
PAQR3,279.10481125078763,3.4753502811192363e-59,4.0886473895520427e-57,2
OCIAD1,2.6105428506852504,0.624956644284145,1.0,1
PABPC4,0.30481494294090145,0.9895012369515069,1.0,1
CMC2,58.525977442124656,5.917759215781415e-12,1.940248923207021e-10,2
RPS6KA3,31.596818560618146,2.3126301592129385e-06,4.069779810392478e-05,4
CPD,332.7404242960932,9.332824037379912e-71,1.3332605767685588e-68,2
HERC2,0.18922703244044708,0.9957966902611625,1.0,1
PPP4R3A,3.326913545295413,0.5046793736866695,1.0,1
CENPK,1.130502758181953,0.8894028981368615,1.0,4
USP33,2.127147455469521,0.7123866774332959,1.0,1
DPH5,0.33644551437094217,0.9873416256128612,1.0,4
PHF5A,0.1359261874497984,0.9977925298324851,1.0,1
BMPR2,0.566115285808791,0.9667535948019207,1.0,1
P4HA1,0.6876300357568654,0.9528455832174876,1.0,4
CEP250,4.971461989850745,0.2902382277966263,0.9905741563024788,1
PARP8,28.59576009141164,9.443670908108409e-06,0.00015231727271142596,1
OGT,22.700075219692142,0.00014534817289139218,0.0018168521611424022,2
FHL3,3.952606798757557,0.4124578175635477,1.0,0
RNF130,0.2426618621664796,0.9932085469095306,1.0,1
RRM2B,0.5716885036731232,0.9661571818239978,1.0,1
GLIPR2,0.18769723893624046,0.9958622855551095,1.0,1
MAPT,1.7135744687992465,0.7882503523933435,1.0,1
BAP1,0.9120017056613977,0.9228327003309926,1.0,1
ENSGALG00000039958,1.9382750696228623,0.7471107183384598,1.0,1
ILVBL,0.6655563312953073,0.9555076054598086,1.0,1
DLG1,0.2898375172900206,0.990460713130499,1.0,1
NANS,4.780330805254749,0.31058840774774904,1.0,2
ENSGALG00000010713,1.2379748330973914,0.8718076064307795,1.0,1
ENSGALG00000038160,1.8444569869865777,0.7643394311877462,1.0,4
ENSGALG00000036263,0.4708216799350074,0.9762786207127867,1.0,1
OTUD3,0.8069521458467979,0.9375136095425534,1.0,1
EEF2K,0.4278858708850264,0.9801307975736482,1.0,1
